antecedents,consequents,support,confidence,lift
frozenset({'Lime Sparkling Water'}),frozenset({'Sparkling Water Grapefruit'}),0.0056497847944063555,0.2853950930262536,8.84263709415503
frozenset({'Bunched Cilantro'}),frozenset({'Limes'}),0.005312515949031149,0.2743465846694487,4.586990149389481
frozenset({'Organic Cilantro'}),frozenset({'Limes'}),0.007470526190435685,0.25264656809159425,4.224172575392208
frozenset({'Organic Garlic'}),frozenset({'Organic Yellow Onion'}),0.009387812388356781,0.20106943103354039,4.168025752678411
frozenset({'Raspberries'}),frozenset({'Strawberries'}),0.005148772562562733,0.21002775850104094,3.4545100551796595
"frozenset({'Bag of Organic Bananas', 'Organic Strawberries'})",frozenset({'Organic Hass Avocado'}),0.006407682754631599,0.24446680080482897,2.691213390161932
frozenset({'Organic Lemon'}),frozenset({'Organic Hass Avocado'}),0.009036083088072676,0.24213069541631524,2.665496368129902
"frozenset({'Organic Baby Spinach', 'Bag of Organic Bananas'})",frozenset({'Organic Hass Avocado'}),0.005187050237321584,0.24211863733820377,2.665363626746752
frozenset({'Organic Cucumber'}),frozenset({'Organic Hass Avocado'}),0.007424167673227743,0.21713603343616278,2.390342568996008
"frozenset({'Organic Strawberries', 'Organic Hass Avocado'})",frozenset({'Bag of Organic Bananas'}),0.006407682754631599,0.3693190175025739,2.288463952332987
frozenset({'Organic Tomato Cluster'}),frozenset({'Organic Hass Avocado'}),0.00555494122250387,0.2031607273406026,2.2364953767712863
frozenset({'Organic Kiwi'}),frozenset({'Organic Strawberries'}),0.005310389411544547,0.24901776988891328,2.212082155913332
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.014402187781766216,0.2470723859416155,2.1948008626219444
"frozenset({'Organic Baby Spinach', 'Organic Hass Avocado'})",frozenset({'Bag of Organic Bananas'}),0.005187050237321584,0.3494455746253689,2.1653193118517655
"frozenset({'Bag of Organic Bananas', 'Organic Hass Avocado'})",frozenset({'Organic Strawberries'}),0.006407682754631599,0.24167081054201892,2.14681742529296
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.01010360490634729,0.2374175494703178,2.109034728398084
frozenset({'Organic Navel Orange'}),frozenset({'Bag of Organic Bananas'}),0.005962385804936969,0.32815243088879004,2.0333775770271676
frozenset({'Michigan Organic Kale'}),frozenset({'Organic Baby Spinach'}),0.005945373505044147,0.20725288736675118,2.0142992088003937
frozenset({'Organic Whole String Cheese'}),frozenset({'Organic Strawberries'}),0.005747180211292765,0.2264394396407266,2.0115136524100983
